Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1786414682,50,,Aggregated,4.900000,0.000000,16000,17000,18000,18000,19000,22000,22000,22000,26000,26000,26000,188,1,16000,15448.515447340438,7140.900500000043,26437.02179999991,646.031914893617
1786414683,50,,Aggregated,4.900000,0.000000,16000,17000,18000,18000,19000,22000,22000,22000,26000,26000,26000,188,1,16000,15448.515447340438,7140.900500000043,26437.02179999991,646.031914893617
1786414684,50,,Aggregated,4.900000,0.000000,16000,17000,18000,18000,19000,22000,22000,22000,26000,26000,26000,188,1,16000,15448.515447340438,7140.900500000043,26437.02179999991,646.031914893617
1786414685,50,,Aggregated,4.900000,0.000000,16000,17000,18000,18000,19000,22000,22000,22000,26000,26000,26000,188,1,16000,15448.515447340438,7140.900500000043,26437.02179999991,646.031914893617
1786414686,50,,Aggregated,0.000000,0.000000,16000,17000,18000,18000,22000,22000,23000,23000,26000,26000,26000,199,2,16000,15629.854406030161,7140.900500000043,26437.02179999991,643.2763819095477
1786414687,50,,Aggregated,0.000000,0.000000,16000,17000,18000,18000,22000,22000,23000,23000,26000,26000,26000,199,2,16000,15629.854406030161,7140.900500000043,26437.02179999991,643.2763819095477
1786414688,50,,Aggregated,0.000000,0.000000,16000,17000,18000,18000,22000,22000,23000,23000,26000,26000,26000,199,2,16000,15629.854406030161,7140.900500000043,26437.02179999991,643.2763819095477
1786414689,50,,Aggregated,0.000000,0.000000,16000,17000,18000,18000,22000,22000,23000,23000,26000,26000,26000,199,2,16000,15629.854406030161,7140.900500000043,26437.02179999991,643.2763819095477
1786414690,50,,Aggregated,1.100000,0.100000,16000,17000,18000,18000,19000,22000,23000,23000,26000,26000,26000,238,2,16000,15909.24332563027,7140.900500000043,26437.02179999991,644.2100840336135
1786414691,50,,Aggregated,1.100000,0.100000,16000,17000,18000,18000,19000,22000,23000,23000,26000,26000,26000,238,2,16000,15909.24332563027,7140.900500000043,26437.02179999991,644.2100840336135
1786414692,50,,Aggregated,1.100000,0.100000,16000,17000,18000,18000,19000,22000,23000,23000,26000,26000,26000,238,2,16000,15909.24332563027,7140.900500000043,26437.02179999991,644.2100840336135
1786414693,50,,Aggregated,1.100000,0.100000,16000,17000,18000,18000,19000,22000,23000,23000,26000,26000,26000,238,2,16000,15909.24332563027,7140.900500000043,26437.02179999991,644.2100840336135
